name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway,VDF_fftt1
West Rio Salado Parkway,273,305490057,117,360,,10.81548102,2,35,,secondary,4,"LINESTRING (-111.9428468 33.4292652, -111.9428211 33.4292268, -111.9427932 33.4292071, -111.9427707 33.4291942)",auto,0,0.018540825
East 6th Street,274,305490058,17,138,,11.72188832,1,25,,residential,6,"LINESTRING (-111.9400786 33.4243437, -111.9399523 33.4243448)",auto,1,0.028132532
East 6th Street,275,305490058,138,17,,11.72188832,1,25,,residential,6,"LINESTRING (-111.9399523 33.4243448, -111.9400786 33.4243437)",auto,1,0.028132532
East 6th Street,276,305490058,138,18,,75.21969479,1,25,,residential,6,"LINESTRING (-111.9399523 33.4243448, -111.939833 33.4243454, -111.9391418 33.4243489)",auto,1,0.180527268
East 6th Street,277,305490058,18,138,,75.21969479,1,25,,residential,6,"LINESTRING (-111.9391418 33.4243489, -111.939833 33.4243454, -111.9399523 33.4243448)",auto,1,0.180527268
West Rio Salado Parkway,278,305490059,72,372,,9.453161253,3,39,,secondary,4,"LINESTRING (-111.9430761 33.429697, -111.9430096 33.4296326)",auto,0,0.014543325
West Rio Salado Parkway,279,305490059,372,168,,33.10917169,3,39,,secondary,4,"LINESTRING (-111.9430096 33.4296326, -111.9429722 33.4295963, -111.9429203 33.4295496, -111.9428945 33.4295157, -111.9428737 33.429453, -111.9428674 33.4293722)",auto,0,0.050937187
South Ash Avenue,280,305490060,280,281,,136.0449322,1,30,,tertiary,5,"LINESTRING (-111.9433518 33.4260281, -111.9433615 33.4263002, -111.9433638 33.4263633, -111.9433563 33.4265053, -111.9433453 33.4265671, -111.9433249 33.4266814, -111.9432746 33.4268558, -111.9432121 33.4269901, -111.9431874 33.4270337, -111.9431405 33.4271163, -111.9430789 33.4272077)",auto,1,0.272089864
South Ash Avenue,281,305490060,281,280,,136.0449322,1,30,,tertiary,5,"LINESTRING (-111.9430789 33.4272077, -111.9431405 33.4271163, -111.9431874 33.4270337, -111.9432121 33.4269901, -111.9432746 33.4268558, -111.9433249 33.4266814, -111.9433453 33.4265671, -111.9433563 33.4265053, -111.9433638 33.4263633, -111.9433615 33.4263002, -111.9433518 33.4260281)",auto,1,0.272089864
South Maple Avenue,282,305490061,190,191,,127.8758632,1,29,,unclassified,11,"LINESTRING (-111.9412736 33.4254885, -111.9412665 33.4243385)",auto,1,0.264570752
South Maple Avenue,283,305490061,191,190,,127.8758632,1,29,,unclassified,11,"LINESTRING (-111.9412665 33.4243385, -111.9412736 33.4254885)",auto,1,0.264570752
South Maple Avenue,284,305490062,189,190,,69.9810478,1,29,,residential,6,"LINESTRING (-111.9412674 33.4261177, -111.9412751 33.4259829, -111.9412736 33.4254885)",auto,1,0.144788375
South Maple Avenue,285,305490062,190,189,,69.9810478,1,29,,residential,6,"LINESTRING (-111.9412736 33.4254885, -111.9412751 33.4259829, -111.9412674 33.4261177)",auto,1,0.144788375
South Farmer Avenue,286,305490063,3,4,,128.3350914,1,25,,residential,6,"LINESTRING (-111.9442814 33.4254737, -111.9442932 33.4248846, -111.9443033 33.4243197)",auto,1,0.308004219
South Farmer Avenue,287,305490063,4,3,,128.3350914,1,25,,residential,6,"LINESTRING (-111.9443033 33.4243197, -111.9442932 33.4248846, -111.9442814 33.4254737)",auto,1,0.308004219
South Farmer Avenue,288,305490063,4,5,,127.0518657,1,25,,residential,6,"LINESTRING (-111.9443033 33.4243197, -111.9443013 33.4237381, -111.9442993 33.4231771)",auto,1,0.304924478
South Farmer Avenue,289,305490063,5,4,,127.0518657,1,25,,residential,6,"LINESTRING (-111.9442993 33.4231771, -111.9443013 33.4237381, -111.9443033 33.4243197)",auto,1,0.304924478
South Farmer Avenue,290,305490063,5,6,,142.8279295,1,25,,residential,6,"LINESTRING (-111.9442993 33.4231771, -111.9442827 33.4224799, -111.9442823 33.4223902, -111.9442806 33.4219919, -111.9442755 33.4219392, -111.9442661 33.4218936)",auto,1,0.342787031
South Farmer Avenue,291,305490063,6,5,,142.8279295,1,25,,residential,6,"LINESTRING (-111.9442661 33.4218936, -111.9442755 33.4219392, -111.9442806 33.4219919, -111.9442823 33.4223902, -111.9442827 33.4224799, -111.9442993 33.4231771)",auto,1,0.342787031
South Farmer Avenue,292,305490063,6,7,,139.7313455,1,25,,residential,6,"LINESTRING (-111.9442661 33.4218936, -111.944256 33.421843, -111.9442502 33.4217971, -111.9442462 33.4217045, -111.9442507 33.4213791, -111.9442504 33.4211204, -111.9442498 33.420638)",auto,1,0.335355229
South Farmer Avenue,293,305490063,7,6,,139.7313455,1,25,,residential,6,"LINESTRING (-111.9442498 33.420638, -111.9442504 33.4211204, -111.9442507 33.4213791, -111.9442462 33.4217045, -111.9442502 33.4217971, -111.944256 33.421843, -111.9442661 33.4218936)",auto,1,0.335355229
South Farmer Avenue,294,305490063,7,8,,32.21317025,1,25,,residential,6,"LINESTRING (-111.9442498 33.420638, -111.9442498 33.4203483)",auto,1,0.077311609
South Farmer Avenue,295,305490063,8,7,,32.21317025,1,25,,residential,6,"LINESTRING (-111.9442498 33.4203483, -111.9442498 33.420638)",auto,1,0.077311609
South Farmer Avenue,296,305490063,8,9,,105.2364725,1,25,,residential,6,"LINESTRING (-111.9442498 33.4203483, -111.9442466 33.4200963, -111.944246 33.4194019)",auto,1,0.252567534
South Farmer Avenue,297,305490063,9,8,,105.2364725,1,25,,residential,6,"LINESTRING (-111.944246 33.4194019, -111.9442466 33.4200963, -111.9442498 33.4203483)",auto,1,0.252567534
South Farmer Avenue,298,305490063,9,10,,53.87398484,1,25,,residential,6,"LINESTRING (-111.944246 33.4194019, -111.9442456 33.4191934, -111.9442454 33.4190374, -111.9442453 33.4189174)",auto,1,0.129297564
South Farmer Avenue,299,305490063,10,9,,53.87398484,1,25,,residential,6,"LINESTRING (-111.9442453 33.4189174, -111.9442454 33.4190374, -111.9442456 33.4191934, -111.944246 33.4194019)",auto,1,0.129297564
South Farmer Avenue,300,305490063,10,11,,126.1062335,1,25,,residential,6,"LINESTRING (-111.9442453 33.4189174, -111.9442451 33.4187505, -111.9442449 33.4185663, -111.9442446 33.4183228, -111.9442439 33.4177833)",auto,1,0.30265496
South Farmer Avenue,301,305490063,11,10,,126.1062335,1,25,,residential,6,"LINESTRING (-111.9442439 33.4177833, -111.9442446 33.4183228, -111.9442449 33.4185663, -111.9442451 33.4187505, -111.9442453 33.4189174)",auto,1,0.30265496
South Farmer Avenue,302,305490063,11,12,,106.8699663,1,25,,residential,6,"LINESTRING (-111.9442439 33.4177833, -111.9442432 33.4172052, -111.944241 33.4168222)",auto,1,0.256487919
